fiscal_year,entity_name,total_governmental_expenditures,public_protection_expenditures,public_protection_pct,probation_expenditures
2003,Alameda,1836243665,452633686,24.65,45193356
2003,Alpine,10476964,3363322,32.1,183073
2003,Amador,36600189,16791960,45.88,1562462
2003,Butte,274644888,74539194,27.14,6713875
2003,Calaveras,44359962,14357025,32.36,446254
2003,Colusa,33144132,10717124,32.33,887666
2003,Contra Costa,1090536559,304659477,27.94,24815240
2003,Del Norte,43246406,13823085,31.96,858917
2003,El Dorado,192952263,68959249,35.74,4366937
2003,Fresno,1007756661,244511615,24.26,22240826
2003,Glenn,57946030,14932622,25.77,1887380
2003,Humboldt,182353271,47236796,25.9,4825022
2003,Imperial,188927248,50633135,26.8,3418892
2003,Inyo,45160731,16932088,37.49,1057259
2003,Kern,904572088,307062202,33.95,18992566
2003,Kings,135795955,40976344,30.17,6244910
2003,Lake,88334116,26671700,30.19,1653022
2003,Lassen,44920047,13159881,29.3,739656
2003,Los Angeles,11090011999,3111616181,28.06,252047493
2003,Madera,126704273,37704862,29.76,3216715
2003,Marin,313153922,102575997,32.76,7521384
2003,Mariposa,38055150,12624773,33.17,824167
2003,Mendocino,146884395,37411658,25.47,3323130
2003,Merced,307150239,69799406,22.72,5208721
2003,Modoc,23332697,5105974,21.88,321526
2003,Mono,28860355,9240165,32.02,345501
2003,Monterey,509287296,141117395,27.71,11704678
2003,Napa,159549217,59014179,36.99,5886057
2003,Nevada,98042107,38061682,38.82,3063347
2003,Orange,2438863586,828464955,33.97,82527567
2003,Placer,297012595,103728468,34.92,7159961
2003,Plumas,45998076,12373451,26.9,985779
2003,Riverside,1682621455,612932719,36.43,26840601
2003,Sacramento,1931730819,535755931,27.73,28348870
2003,San Benito,53140352,15944923,30.01,1282428
2003,San Bernardino,1844224287,502110615,27.23,37740795
2003,San Diego,2674870648,794636456,29.71,80236018
2003,San Francisco,5516088939,800789472,14.52,9560879
2003,San Joaquin,660280211,183975837,27.86,14037887
2003,San Luis Obispo,295599572,87074632,29.46,3177215
2003,San Mateo,648225288,216931210,33.47,3239566
2003,Santa Barbara,531994040,195564857,36.76,19452416
2003,Santa Clara,2102820920,567430509,26.98,63139186
2003,Santa Cruz,309352967,90867337,29.37,8799980
2003,Shasta,213911123,60121762,28.11,4783041
2003,Sierra,14962549,3625133,24.23,241077
2003,Siskiyou,76141870,24158988,31.73,1319922
2003,Solano,453841768,144112960,31.75,19060177
2003,Sonoma,540663500,188969191,34.95,9248514
2003,Stanislaus,539105103,132598109,24.6,7628414
2003,Sutter,93790233,21936434,23.39,2475365
2003,Tehama,82320090,21551488,26.18,2578714
2003,Trinity,35730018,9948029,27.84,929415
2003,Tulare,475797765,113351454,23.82,7379517
2003,Tuolumne,74547003,23697255,31.79,2434806
2003,Ventura,731415858,293460170,40.12,14120159
2003,Yolo,173554783,50300402,28.98,3757099
2003,Yuba,96031420,29035032,30.23,3477192
2004,Alameda,1649739744,473388669,28.69,46046102
2004,Alpine,11766291,3556888,30.23,237514
2004,Amador,45069377,19349673,42.93,1650989
2004,Butte,281850805,77563949,27.52,6509853
2004,Calaveras,49760878,15680895,31.51,474821
2004,Colusa,31608372,10907906,34.51,905519
2004,Contra Costa,1118333550,313984754,28.08,22353355
2004,Del Norte,43285454,13580744,31.37,879969
2004,El Dorado,200747683,71982551,35.86,4487660
2004,Fresno,999758920,263481300,26.35,21601051
2004,Glenn,52498538,15001458,28.58,1496077
2004,Humboldt,186568153,46164848,24.74,4566570
2004,Imperial,194019419,50500744,26.03,3230296
2004,Inyo,48971193,19335912,39.48,951770
2004,Kern,907888395,309904863,34.13,19358335
2004,Kings,137172266,43525405,31.73,6282883
2004,Lake,88861296,27234921,30.65,1501866
2004,Lassen,49720658,15297496,30.77,935495
2004,Los Angeles,11296198268,3270351129,28.95,250097326
2004,Madera,128242327,40867236,31.87,3050464
2004,Marin,323643137,107062497,33.08,7975755
2004,Mariposa,37741893,12209022,32.35,883685
2004,Mendocino,161182413,37781789,23.44,3333254
2004,Merced,281120610,73609319,26.18,5168134
2004,Modoc,21365894,5275483,24.69,312503
2004,Mono,29506582,9151816,31.02,284940
2004,Monterey,473317773,142684809,30.15,11196389
2004,Napa,174506029,60561511,34.7,5561029
2004,Nevada,100550651,40428412,40.21,3025754
2004,Orange,2516292393,864000653,34.34,79257542
2004,Placer,304726783,108922672,35.74,11882044
2004,Plumas,46575325,12530197,26.9,1059768
2004,Riverside,1765134782,665000720,37.67,28049487
2004,Sacramento,2065167306,550401473,26.65,26458242
2004,San Benito,52757126,16278933,30.86,1334991
2004,San Bernardino,1901749513,524418493,27.58,38638938
2004,San Diego,2779719311,875454363,31.49,91049088
2004,San Francisco,5676261015,773332401,13.62,9245143
2004,San Joaquin,646882215,193863203,29.97,14359225
2004,San Luis Obispo,328975787,92347084,28.07,2934437
2004,San Mateo,713517804,235182135,32.96,3139464
2004,Santa Barbara,560645386,209605180,37.39,18912490
2004,Santa Clara,2009689989,541008874,26.92,16658216
2004,Santa Cruz,319510764,94299237,29.51,7717735
2004,Shasta,226912446,60395986,26.62,4681877
2004,Sierra,12777755,3424476,26.8,248340
2004,Siskiyou,78466098,27348610,34.85,1406867
2004,Solano,533503033,153645819,28.8,17582581
2004,Sonoma,572401071,200155729,34.97,9313727
2004,Stanislaus,539975507,136342112,25.25,7878798
2004,Sutter,100627124,23965700,23.82,2741086
2004,Tehama,79517986,22285100,28.03,2459806
2004,Trinity,37389014,10663318,28.52,919507
2004,Tulare,489111851,138109657,28.24,10252092
2004,Tuolumne,78653992,25302605,32.17,2243099
2004,Ventura,749219504,317909980,42.43,12509653
2004,Yolo,168811848,52003640,30.81,3937372
2004,Yuba,106213394,32525113,30.62,3995254
2005,Alameda,1693220824,478118230,28.24,45387951
2005,Alpine,11960809,3803358,31.8,200126
2005,Amador,49943958,20971445,41.99,1786047
2005,Butte,292395682,82450418,28.2,7609089
2005,Calaveras,54147175,16344335,30.19,1137226
2005,Colusa,31855558,11473793,36.02,1045528
2005,Contra Costa,1136776004,325122733,28.6,23235499
2005,Del Norte,47562731,13901471,29.23,916826
2005,El Dorado,218246644,82121823,37.63,4767208
2005,Fresno,1035184807,262316882,25.34,21242504
2005,Glenn,55049039,15315428,27.82,1141590
2005,Humboldt,181213384,46203110,25.5,4855027
2005,Imperial,203289711,53911125,26.52,3167171
2005,Inyo,45032310,18382295,40.82,1057405
2005,Kern,965863559,329386642,34.1,20634015
2005,Kings,158454006,47372475,29.9,6920719
2005,Lake,91397279,29031462,31.76,1714925
2005,Lassen,50224041,16795656,33.44,1063113
2005,Los Angeles,11417657981,3426001446,30.01,255010575
2005,Madera,135653661,42395499,31.25,3005463
2005,Marin,329760867,105767555,32.07,8114393
2005,Mariposa,40837388,13022785,31.89,902721
2005,Mendocino,151745950,38446518,25.34,3036524
2005,Merced,285437844,78950428,27.66,5329096
2005,Modoc,24200823,5551464,22.94,335802
2005,Mono,37610031,11364630,30.22,363281
2005,Monterey,492408665,150813334,30.63,12265764
2005,Napa,183779813,68596208,37.33,5682678
2005,Nevada,100441789,42361200,42.17,3018683
2005,Orange,2581563019,881989620,34.16,75155537
2005,Placer,351285048,118388749,33.7,12748564
2005,Plumas,52813800,14141390,26.78,1103656
2005,Riverside,1948068103,745973892,38.29,29529553
2005,Sacramento,1910429907,552747690,28.93,26974052
2005,San Benito,56747296,18526174,32.65,1450747
2005,San Bernardino,1947825756,546708961,28.07,41479179
2005,San Diego,2953236530,926777239,31.38,98702830
2005,San Francisco,5200884427,806296121,15.5,9564853
2005,San Joaquin,670993048,205267617,30.59,14128497
2005,San Luis Obispo,345122204,97070028,28.13,3140572
2005,San Mateo,719411772,246661467,34.29,3830426
2005,Santa Barbara,583763900,218847197,37.49,19390062
2005,Santa Clara,1867619120,563039960,30.15,17255796
2005,Santa Cruz,329085490,97250095,29.55,8902297
2005,Shasta,230754443,66509462,28.82,4377715
2005,Sierra,12904531,3434828,26.62,329748
2005,Siskiyou,83780228,27181028,32.44,1423209
2005,Solano,509104346,153454171,30.14,17675540
2005,Sonoma,626267378,213644149,34.11,12009714
2005,Stanislaus,575678456,150314221,26.11,9125888
2005,Sutter,106234425,26162776,24.63,2974476
2005,Tehama,84181193,23910308,28.4,2312966
2005,Trinity,36768498,12279508,33.4,1002047
2005,Tulare,514340548,148087248,28.79,10530270
2005,Tuolumne,81813063,26608963,32.52,2347281
2005,Ventura,761510708,332592455,43.68,13469517
2005,Yolo,194501927,63494705,32.64,4112326
2005,Yuba,100438015,33888766,33.74,4085220
2006,Alameda,1789076569,504387652,28.19,46042673
2006,Alpine,12864637,3674518,28.56,225984
2006,Amador,63757867,22652560,35.53,1969600
2006,Butte,307352932,87545503,28.48,7869668
2006,Calaveras,63803561,18205200,28.53,1320369
2006,Colusa,35742575,12560498,35.14,1195710
2006,Contra Costa,1200893970,345123510,28.74,27038243
2006,Del Norte,51871855,14361046,27.69,957164
2006,El Dorado,249618512,95554807,38.28,5432007
2006,Fresno,1098013588,274530171,25.0,22584982
2006,Glenn,60929722,16376412,26.88,1081270
2006,Humboldt,200841095,51605088,25.69,5334057
2006,Imperial,216361644,60299905,27.87,3436892
2006,Inyo,47478787,18851293,39.7,1151896
2006,Kern,1019331031,357294744,35.05,22424605
2006,Kings,172021048,51513437,29.95,7405878
2006,Lake,96555172,30792280,31.89,1706163
2006,Lassen,50720058,16410021,32.35,1060182
2006,Los Angeles,11696722235,3657503701,31.27,274460446
2006,Madera,163375839,43370167,26.55,3273584
2006,Marin,367428363,118250327,32.18,8911513
2006,Mariposa,41491628,13671732,32.95,827530
2006,Mendocino,160605237,40222529,25.04,2983036
2006,Merced,316544081,85695768,27.07,5796709
2006,Modoc,25167847,5984526,23.78,438539
2006,Mono,38473212,12066368,31.36,400831
2006,Monterey,521305510,168541411,32.33,12896034
2006,Napa,184439533,76531051,41.49,6112196
2006,Nevada,114537394,45035094,39.32,3282540
2006,Orange,3054961453,927668263,30.37,79884546
2006,Placer,404688064,137499039,33.98,12298912
2006,Plumas,55180435,16084334,29.15,1384956
2006,Riverside,2197694157,805248982,36.64,30232446
2006,Sacramento,2113600402,628569334,29.74,31446584
2006,San Benito,57970026,20054896,34.6,1534270
2006,San Bernardino,2033735607,626040634,30.78,48484142
2006,San Diego,2980699452,917198175,30.77,95282941
2006,San Francisco,5889196564,875826723,14.87,10873591
2006,San Joaquin,722598997,216846543,30.01,14826988
2006,San Luis Obispo,367201092,110114310,29.99,3533795
2006,San Mateo,751072843,258547722,34.42,3963401
2006,Santa Barbara,604702325,230679743,38.15,20490889
2006,Santa Clara,2101028554,610542697,29.06,16814195
2006,Santa Cruz,355016092,103802735,29.24,10279938
2006,Shasta,241391041,68131788,28.22,4524771
2006,Sierra,15477693,4564116,29.49,352151
2006,Siskiyou,84194848,27979154,33.23,1535364
2006,Solano,555484022,164386528,29.59,18588563
2006,Sonoma,655924903,229288200,34.96,13226738
2006,Stanislaus,598404940,160171385,26.77,10037652
2006,Sutter,112370217,26562284,23.64,2947855
2006,Tehama,87157812,25376377,29.12,2280441
2006,Trinity,41008715,11656964,28.43,1157155
2006,Tulare,541821940,155637321,28.72,9409594
2006,Tuolumne,88110644,29664418,33.67,3025824
2006,Ventura,811002513,359578032,44.34,15294192
2006,Yolo,216340223,61473584,28.42,4525042
2006,Yuba,115297467,38202845,33.13,4351743
2007,Alameda,1840512393,559545578,30.4,49180730
2007,Alpine,15807990,4460033,28.21,210951
2007,Amador,67567224,24896687,36.85,1996061
2007,Butte,329161170,94723316,28.78,9752625
2007,Calaveras,65033218,20535656,31.58,1517401
2007,Colusa,39595258,13524015,34.16,1515595
2007,Contra Costa,1310288576,378496945,28.89,31608354
2007,Del Norte,53415861,15834602,29.64,1150955
2007,El Dorado,273191327,102500714,37.52,6672879
2007,Fresno,1143991031,313203908,27.38,23242772
2007,Glenn,61901393,18092024,29.23,1106777
2007,Humboldt,211538572,55449071,26.21,5561908
2007,Imperial,229615051,67604880,29.44,4668089
2007,Inyo,52554321,20887631,39.74,1274631
2007,Kern,1065031239,395125121,37.1,23603276
2007,Kings,169144073,58948678,34.85,7895318
2007,Lake,108704855,33698849,31.0,2048205
2007,Lassen,56717348,18059275,31.84,1071162
2007,Los Angeles,12356375298,4045859470,32.74,301472948
2007,Madera,184825916,53184575,28.78,4773005
2007,Marin,389448430,119181368,30.6,10655901
2007,Mariposa,43908275,15643918,35.63,988874
2007,Mendocino,171279117,42296928,24.69,3040049
2007,Merced,346829247,94603393,27.28,6658565
2007,Modoc,25584449,6024738,23.55,483602
2007,Mono,40225091,12088773,30.05,370518
2007,Monterey,579058997,164596453,28.42,13510852
2007,Napa,201686404,83109979,41.21,6640388
2007,Nevada,115421710,47787730,41.4,3356761
2007,Orange,3070017986,1017978597,33.16,93431958
2007,Placer,433792266,151060122,34.82,12058324
2007,Plumas,56454476,15716344,27.84,1261547
2007,Riverside,2441031651,926776477,37.97,40325228
2007,Sacramento,2308628438,684522931,29.65,38317228
2007,San Benito,65490860,21382064,32.65,1816496
2007,San Bernardino,2140180658,689589696,32.22,46407335
2007,San Diego,3202058532,1002413250,31.31,96466811
2007,San Francisco,6340270159,962805820,15.19,10907274
2007,San Joaquin,791148909,238099750,30.1,16758024
2007,San Luis Obispo,381503018,115109932,30.17,4645028
2007,San Mateo,827651517,288808542,34.89,5223563
2007,Santa Barbara,643662675,247092716,38.39,21974014
2007,Santa Clara,2242414100,656108312,29.26,17560316
2007,Santa Cruz,378588604,105088767,27.76,11360404
2007,Shasta,252043169,75137082,29.81,4874547
2007,Sierra,17107930,5223538,30.53,390641
2007,Siskiyou,84578909,27670923,32.72,1637893
2007,Solano,532099874,173794812,32.66,20272832
2007,Sonoma,689262375,241337852,35.01,14186184
2007,Stanislaus,633652108,174944287,27.61,10629201
2007,Sutter,118564246,28456914,24.0,3077279
2007,Tehama,95574753,27352885,28.62,2398833
2007,Trinity,40076543,11375697,28.38,1237677
2007,Tulare,589454537,169114909,28.69,10241031
2007,Tuolumne,96128869,31410399,32.68,2632035
2007,Ventura,875627702,387316682,44.23,13901294
2007,Yolo,245891935,66251388,26.94,5973531
2007,Yuba,123571543,42100501,34.07,4717655
2008,Alameda,1944733831,601594372,30.93,54884285
2008,Alpine,16232167,5224676,32.19,238226
2008,Amador,64207945,27245237,42.43,2170307
2008,Butte,330536361,95326075,28.84,10063796
2008,Calaveras,73930562,23096595,31.24,1617818
2008,Colusa,46880195,14992034,31.98,1500774
2008,Contra Costa,1339985217,379029663,28.29,32276284
2008,Del Norte,56265599,16673767,29.63,1358494
2008,El Dorado,299356467,107106439,35.78,7534487
2008,Fresno,1256974584,347260408,27.63,25992205
2008,Glenn,66249879,20378305,30.76,1275191
2008,Humboldt,222765677,55791128,25.04,5693875
2008,Imperial,243990830,73048747,29.94,5051008
2008,Inyo,56803978,23651610,41.64,1271541
2008,Kern,1202186350,466003937,38.76,29647706
2008,Kings,177741648,60188006,33.86,8076447
2008,Lake,115247631,35610778,30.9,2187310
2008,Lassen,59944298,18707930,31.21,972949
2008,Los Angeles,13390566398,4417449562,32.99,333286041
2008,Madera,177777058,55640401,31.3,4399871
2008,Marin,441484371,128389062,29.08,12406784
2008,Mariposa,48093358,17841947,37.1,1139290
2008,Mendocino,182476804,45958408,25.19,3666941
2008,Merced,368231435,104592224,28.4,7262383
2008,Modoc,26703774,6818260,25.53,505837
2008,Mono,46344283,15553472,33.56,842168
2008,Monterey,593313119,176927148,29.82,15068112
2008,Napa,223866224,86471158,38.63,7048839
2008,Nevada,129268978,52034711,40.25,3403818
2008,Orange,3491037747,1119385527,32.06,96642451
2008,Placer,478016059,167141802,34.97,13214210
2008,Plumas,56876945,16705557,29.37,1197775
2008,Riverside,2702661542,1059121385,39.19,51104257
2008,Sacramento,2484904606,771303396,31.04,46052545
2008,San Benito,77049641,23300468,30.24,1908660
2008,San Bernardino,2260942895,741378467,32.79,61434776
2008,San Diego,3524634707,1068621679,30.32,105552447
2008,San Francisco,6562941444,1037122119,15.8,11448773
2008,San Joaquin,855069902,261727526,30.61,19830842
2008,San Luis Obispo,390424830,120080134,30.76,12417700
2008,San Mateo,863662606,299152776,34.64,3648363
2008,Santa Barbara,698625371,269588829,38.59,23441853
2008,Santa Clara,2225752900,665054110,29.88,15356859
2008,Santa Cruz,402408708,114490619,28.45,12326199
2008,Shasta,260091232,78521610,30.19,5198419
2008,Sierra,19924484,4580737,22.99,429178
2008,Siskiyou,94294856,30878889,32.75,1766059
2008,Solano,564683768,181615478,32.16,20736732
2008,Sonoma,768079464,252070038,32.82,16348125
2008,Stanislaus,673708455,188509392,27.98,10750764
2008,Sutter,134762782,32165277,23.87,3583218
2008,Tehama,103277064,27892769,27.01,2479954
2008,Trinity,47768306,13440640,28.14,1146437
2008,Tulare,622040008,188070036,30.23,11731895
2008,Tuolumne,95440422,32997428,34.57,2905353
2008,Ventura,898601550,406653840,45.25,15619639
2008,Yolo,265748762,76435378,28.76,7978322
2008,Yuba,144678709,45674735,31.57,5221848
2009,Alameda,2031238550,602910730,29.68,58871859
2009,Alpine,15902466,4693548,29.51,335094
2009,Amador,60193225,26840641,44.59,1908418
2009,Butte,345640546,95977620,27.77,10275804
2009,Calaveras,72037068,22107142,30.69,1915020
2009,Colusa,43315639,16317729,37.67,1636174
2009,Contra Costa,1314916076,376586114,28.64,29934573
2009,Del Norte,59201814,17284195,29.2,1443391
2009,El Dorado,284418073,105898620,37.23,7192149
2009,Fresno,1256412733,346196142,27.55,25541423
2009,Glenn,67426804,19351162,28.7,1201152
2009,Humboldt,239366315,65081840,27.19,5908343
2009,Imperial,250938240,72110231,28.74,5447429
2009,Inyo,57181806,23308510,40.76,1362799
2009,Kern,1225531352,464711841,37.92,30427051
2009,Kings,186145923,63645788,34.19,7711043
2009,Lake,119192427,34982912,29.35,2171901
2009,Lassen,62408611,18420731,29.52,1200908
2009,Los Angeles,13947920013,4590213722,32.91,366758274
2009,Madera,179255309,57937839,32.32,4638695
2009,Marin,429371906,126796705,29.53,11740179
2009,Mariposa,51341691,19119895,37.24,1274401
2009,Mendocino,188207084,46455604,24.68,3951472
2009,Merced,386690584,113935209,29.46,9605639
2009,Modoc,28314968,7277452,25.7,462612
2009,Mono,52967013,16899447,31.91,1017279
2009,Monterey,663045747,183397032,27.66,14846812
2009,Napa,227462049,94511838,41.55,8210155
2009,Nevada,137496353,53116585,38.63,3751629
2009,Orange,3149978320,1124783410,35.71,90168328
2009,Placer,537147180,169698307,31.59,14875990
2009,Plumas,52553460,15448948,29.4,1156844
2009,Riverside,2796825809,1130507154,40.42,85416399
2009,Sacramento,2527825860,760427464,30.08,42043994
2009,San Benito,73108352,24939104,34.11,2169269
2009,San Bernardino,2303799891,742571978,32.23,61078962
2009,San Diego,3593171137,1083848993,30.16,103793693
2009,San Francisco,6863366712,1029980249,15.01,12100982
2009,San Joaquin,859887958,273305952,31.78,21086288
2009,San Luis Obispo,392019596,122510710,31.25,10410131
2009,San Mateo,890777037,309161332,34.71,4194158
2009,Santa Barbara,676862966,271709423,40.14,23391579
2009,Santa Clara,2186396929,689165723,31.52,18957097
2009,Santa Cruz,391884581,116861554,29.82,11956358
2009,Shasta,264333777,78211494,29.59,5262417
2009,Sierra,16697362,3945756,23.63,392349
2009,Siskiyou,103820912,29949223,28.85,1849149
2009,Solano,622083010,190754880,30.66,23678749
2009,Sonoma,730125430,255213271,34.95,16737105
2009,Stanislaus,673153935,186375500,27.69,10552267
2009,Sutter,143227006,33108098,23.12,4241604
2009,Tehama,99894116,28397318,28.43,2493527
2009,Trinity,41433725,10273209,24.79,894271
2009,Tulare,651407421,190768062,29.29,12746487
2009,Tuolumne,97987038,33631757,34.32,2384028
2009,Ventura,898740529,417366616,46.44,15599049
2009,Yolo,257328806,77519847,30.12,7667018
2009,Yuba,127461329,45083494,35.37,5648954
2010,Alameda,2083268145,597911182,28.7,52509384
2010,Alpine,14559262,4705145,32.32,310698
2010,Amador,58841527,26684019,45.35,1934683
2010,Butte,341202072,92180277,27.02,9825068
2010,Calaveras,66585284,20469381,30.74,1851388
2010,Colusa,44894735,16102359,35.87,1645225
2010,Contra Costa,1243406695,365450158,29.39,30225319
2010,Del Norte,54637202,16985371,31.09,1355436
2010,El Dorado,267573862,95997008,35.88,6759743
2010,Fresno,1184283111,335109060,28.3,25012869
2010,Glenn,64118066,18648417,29.08,1144741
2010,Humboldt,230733888,62743347,27.19,5936000
2010,Imperial,257530061,76161286,29.57,5311624
2010,Inyo,55504625,22434339,40.42,1068119
2010,Kern,1221862570,443436497,36.29,28401313
2010,Kings,184865685,61796764,33.43,7905140
2010,Lake,116711571,33876789,29.03,2191065
2010,Lassen,57098505,18509945,32.42,1416460
2010,Los Angeles,13994578119,4563267443,32.61,348524312
